"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";
"C1";"1uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C2";"10µF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C3";"10µF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C4";"0.1uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C5";"10uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C6";"0.1uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C7";"0.1uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C8";"10nF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C9";"10nF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C10";"0.1uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C11";"10nF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C12";"10uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C13";"0.1uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C14";"1uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"C15";"10uF";"CAP_CERAMIC_0603MP";"_0603MP";"Ceramic Capacitors";"";"";"";"";"";"";
"CON100";"12XFFCMOLEX_51281";"12XFFCMOLEX_51281";"MOLEX_51281-1294";"";"";"";"";"";"";"";
"D1";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";
"D2";"MBR120";"DIODE-SCHOTTKYSOD-323";"SOD-323";"";"";"";"";"";"";"";
"D3";"ORANGE";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";"";"";"";"";"";
"IC1";"ATMEGA328P";"MEGA8-MI";"MLF32-TH";"MICROCONTROLLER";"";"ATMEGA88PA-MU";"1715491";"15R0272";"";"";
"J1";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"J2";"";"CONN_01PTH_NO_SILK_YES_STOP";"1X01_NO_SILK";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";
"JP1";"";"HEADER-1X12";"1X12_ROUND";"";"";"";"";"";"";"";
"JP2";"";"HEADER-1X16ROUND";"1X16_ROUND";"PIN HEADER";"";"";"";"";"";"";
"Q1";"DMG341";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";"";"";
"R1";"1K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R2";"1K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R3";"10K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R4";"1K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R5";"10K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R6";"1K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R7";"100k";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R8";"100k";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R9";"100k";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"R10";"10K";"RESISTOR_0603MP";"_0603MP";"Resistors";"";"";"";"";"";"";
"S1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"SWCH-10651";"COM-10860";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";"";"";"";"";
"U$1";"ADXL337";"ADXL337";"LFCSP_LQ-16";"ADXL337 Low Power 3-Axis ±3 g Accelerometer with Analog Output.";"";"";"";"";"";"";
"U1";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";
"U3";"CP2104";"CP2104";"QFN24_4MM_SMSC";"CP2104 - USB to UART Bridge";"";"";"";"";"";"";
"X1";"20329";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"USB Connectors";"";"";"";"";"";"";
"Y1";"RESONATORMU";"RESONATORMU";"RESONATOR";"";"";"";"";"";"";"";
