2020-02-05 17:51:28,923 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-02-05 17:51:28,954 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-02-05 17:51:28,957 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-02-05 17:51:28,957 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-02-05 17:51:28,971 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-02-05 17:51:28,971 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-02-05 17:51:28,995 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-02-05 17:57:44,605 INFO  SwAddin.cs: 271 - Assembly export called for file simulation_assembly
2020-02-05 17:57:47,880 INFO  SwAddin.cs: 290 - Saving assembly
2020-02-05 17:57:47,973 INFO  SwAddin.cs: 293 - Opening property manager
2020-02-05 17:57:47,991 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from simulation_assembly
2020-02-05 17:57:47,996 INFO  ExportHelperExtension.cs: 1142 - Found 28 in simulation_assembly
2020-02-05 17:57:47,996 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in simulation_assembly
2020-02-05 17:57:47,997 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-02-05 17:57:47,997 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-02-05 17:57:47,999 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from simulation_arm-2
2020-02-05 17:57:48,000 INFO  ExportHelperExtension.cs: 1142 - Found 32 in simulation_arm-2
2020-02-05 17:57:48,000 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in simulation_arm-2
2020-02-05 17:57:48,000 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from simulation_body-1
2020-02-05 17:57:48,001 INFO  ExportHelperExtension.cs: 1142 - Found 33 in simulation_body-1
2020-02-05 17:57:48,001 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in simulation_body-1
2020-02-05 17:57:48,001 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from simulation_arm-1
